Location Description,Speed Limit,Reason Code(s),Geo Location (address),Geo Location (city),Geo Location (state),Geo Location (zip)
78 Ave WB between 162 St - Patricia Dr,30,(f),,,,
EB 102 Ave btwn 138-136 St,50,(h),,,,
121 St SB btwn Yellowhead Tr - Kingsway Ave,60,(c),,,,
WB 144 Ave E of  87 - 88A St,30,(f),,,,
64 Ave WB between 172 - 177 St,30,(f),,,,
SB 65 St btwn 106 - 104 Ave,30,(f),,,,
144 St SB between 104 - 103 Ave,30,(f),,,,
WB 132 Ave btwn 135 - 137 St,30,(f),,,,
WB 172 Ave  E of 104 St -  W of 107 St,30,(f),,,,
WB 144 Ave btwn 88A - E of 92 St,30,(f),,,,
WB Ellerslie Rd SW between 85 - 91 St SW,60,"(c), (h)",,,,
170 St SB between 118 - 114 Ave,60,"(b), (c), (h)",,,,
106 St NB between 35 -36A Ave,50,"(f), (h)",,,,
SB 139 St Btwn 116 - 115 Ave,30,(f),,,,
112 Ave EB between 81 - 79 St,50,"(b), (h)",,,,
152 St SB between 96 - 95 Ave,30,(f),,,,
Millwoods Rd S EB btwn Knottwood Rd E - 69 St,50,(h),,,,
SB 106 St btwn 42 - 40 Ave,30,(f),,,,
NB 97 St between 112 - 114 Ave,50,(b),,,,
107 Ave EB between 124 - 122 St,50,(h),,,,
NB 59 St btwn 62 St - McLeod Rd,30,(f),,,,
NB 97 St between 108 - 110 Ave,50,(h),,,,
Anthony Henday Drive East of 50 Street,100,(a),,,,
EB Hermitage Rd Btwn Huffman Cres - Hunt Rd,30,(f),,,,
Brintnell Blvd SB btwn 158 - 157A Ave,50,"(c), (h)",,,,
EB 107 Ave between 113 - 110 St,50,(h),,,,
176 Ave EB between 100 - 97 St,50,(h),,,,
SB 79 St Btwn 95 - 94 Ave,30,(f),,,,
NB 105 St Btwn 19-20 Ave,30,(f),,,,
EB Stony Plain Rd between 132 St - Connaught Dr,50,(h),,,,
86 Ave WB between 64 - 68A St,30,(f),,,,
NB Mill Woods Rd W of  38 Ave - E of Millbourne Rd W,30,(f),,,,
WB Whitemud Dr between 50 - 75 St,60,(g),,,,
WB 76 Ave Btwn 172 - 177 St,30,(f),,,,
NB Millwoods Rd E Btwn 17 -18 Ave,30,(f),,,,
NB Allard Blvd SW btn  Allard Blvd - Alexander Way SW,30,(f),,,,
Anthony Henday Dr WB at 66 St,100,(a),,,,
Anthony Henday Dr EB at LeClair Way,100,(a),,,,
87 Ave EB between 147 - 145 St,60,(c),,,,
EB 107 Ave between 34 St - 107A Ave,30,(f),,,,
Knottwood Rd E NB between 17 - 19 Ave,30,(f),,,,
NB Parsons Rd SW btwn Ellwood Dr SW-Anth Hend Dr,60,(h),,,,
66 St SB between 166 - 164 Ave,60,(c),,,,
95 Ave WB between 87 - 89 St,30,(f),,,,
SB 79 St between 101 - 98A Ave,50,(h),,,,
"Groat Rd NB, Victoria Pk Rd-S of 107 Ave",50,"(c), (h)",,,,
Anthony Henday Dr. SB @ Yellowhead Tr.,100,"(a), (b), (c)",,,,
Savaryn Dr SW EB between 89B - 88 St SW,50,(h),,,,
SB 182 St Btwn 93 - N of 89 Ave,30,(f),,,,
Mill Woods Rd East SB between 36 - 34 Ave,50,"(f), (h)",,,,
Hemingway Rd SB between 59 Ave - Hardy Point,30,(f),,,,
NB 113A St btwn 54 - 56 Ave,30,(f),,,,
142 St SB between 96 - 95 Ave,60,(h),,,,
95 Ave WB between 80 St - Holyrood Rd,50,(h),,,,
66 St SB between 161 - 159 Ave,60,(c),,,,
91 St NB between Anthony Henday Dr - 23 Ave,70,"(b), (c)",,,,
EB 76 Ave Btwn 177 - 172 St,30,(f),,,,
EB Whitemud Dr between 76 - 66 St,50,(g),,,,
Silverberry Rd. btwn 29 - 24 St.,50,(h),,,,
39 Ave WB between 93 - 97 St,50,"(b), (c)",,,,
NB 81 St between 86 - 89 Ave,30,(f),,,,
WB Hermitage Rd Btwn 127 Ave - 40 St,30,(f),,,,
SB 105 St Btwn 20-19 Ave,30,(f),,,,
106 St SB between 38 - 36A Ave,50,"(f), (h)",,,,
NB 91 St Btwn 86 Ave - S of 88 Ave,30,(f),,,,
66 St NB north of 167 Ave,60,(c),,,,
Anthony Henday Dr NB north of North Sask River,100,(a),,,,
NB Bulyea Rd between Burley Dr - Burton Rd,30,(f),,,,
101 Ave EB between 90 - 88 St,30,(f),,,,
SB Groat Rd btwn 107 Ave - Victoria Park Rd,50,(c),,,,
EB 40 Ave Btwn 119 - 115 A St,30,(f),,,,
Gateway Blvd NB – north of 63 Ave,60,(c),,,,
EB Kingsway Ave btwn Tower Rd - Princess Eliz Ave,60,(b),,,,
144 Ave WB between 72 - 74 St,50,"(f), (h)",,,,
11A Ave WB between 56 - 58 St,30,(f),,,,
116 Ave WB between 133 - 135 St,40,"(f), (h)",,,,
36 Ave WB between Millwoods Rd - 78 St,30,(f),,,,
SB 66 St between Delwood Rd - 132 Ave,50,(h),,,,
Brintnell Blvd NB between 47 St - 157A Ave,50,"(c), (h)",,,,
SB 72 St Btwn 149 A - 144 Ave,30,(f),,,,
113A St NB between 134 - 136 Ave,50,(h),,,,
WB 76 Ave Btwn 154 - 156 St,30,(f),,,,
172 St NB between Callingwood Rd - 63 Ave,30,(f),,,,
EB 150 Ave Btwn 94 St - W of 89A St,30,(f),,,,
87 St NB between 78 - 79 Ave,30,(f),,,,
EB 64 Ave Btwn 177-172 St,30,(f),,,,
94B Ave EB  btwn 68A - 61 St,40,(h),,,,
107 St SB between 110 - 109 Ave,30,(f),,,,
WB 102 Ave between 135 - 136 St,50,(h),,,,
97 St. btwn 144 - 153 Ave.,70,(b),,,,
80 Ave EB between 98 - 97 St,30,(f),,,,
134 Ave WB between 132A - 134 St,30,(f),,,,
NB 145 St btwn 88 - 89A Ave,30,(f),,,,
105 St NB between Rossdale Rd - 97 Ave,50,(h),,,,
WB 98 Ave between 91 - 93 St,60,(h),,,,
127 Ave EB between 126 - 123 St,50,(c),,,,
SB Woodvale Rd btwn 35 Ave - 58 St,30,(f),,,,
SB 106 St Btwn 32A - 31 Ave,30,(f),,,,
NB 110 St between 109 - 110 Ave,30,(f),,,,
Millwoods Rd S WB between 54 - 62 St,30,(f),,,,
NB 117 St between 142 - 144 Ave,30,(f),,,,
142 St NB btwn 104A-105 Ave,50,"(a), (h)",,,,
SB 127 St between 137 - 135 Ave,50,(b),,,,
180 Ave WB between 83 - 87 St,50,(h),,,,
Saddleback Rd NB between 25 - 27 Ave,50,"(f), (h)",,,,
144 Ave between 79-77 St,50,(h),,,,
Yellowhead Tr WB between 68 St - Fort Rd,70,(b),,,,
WB Allan Dr SW Btwn Allan Cres SW - Anderson Way SW,30,(f),,,,
EB 132 Ave between 66 St - Fort Rd,50,"(a), (h)",,,,
132 Ave EB between 72 - 69 St,30,(f),,,,
Fort Rd SB between  122 - 121 Ave,50,"(c), (h)",,,,
158 St SB between 83 - 79A Ave,30,(f),,,,
WB Allan Dr SW between Allan Cresc - Austin Way SW,30,(h),,,,
39 Ave EB between 97 - 93 St,50,"(b), (c)",,,,
139 St NB between 109 - 109A Ave,30,(f),,,,
NB 127 St Btwn 115 - N of 116 ave,30,(f),,,,
SB 117 St between 144 - 142 Ave,30,(f),,,,
EB 37A Ave E of 28 - 23 St,30,(f),,,,
156 St SB between 94 - 92 Ave,50,"(b), (c)",,,,
WB 161A Ave btwn 74 - 76 St,30,(f),,,,
NB Windermere Rd Btwn Windermere Blvd-Whitelaw Ln,30,(f),,,,
Anthony Henday Dr EB at Whitemud Creek,100,"(a), (b), (c)",,,,
EB 91 Ave Btwn 145 - 143 St,30,(f),,,,
WB Jasper Ave Btwn 87-90 St,50,(c),,,,
EB 121 Ave between 54 - 52 St,50,(h),,,,
97A Ave  WB between 185 - 189 St,30,(f),,,,
Anthony Henday Dr At St Albert Tr  WB,100,(a),,,,
SB Riverbend Rd btwn 56 - 53  Ave,30,(f),,,,
131 St NB between 122A - 122B Ave,30,(f),,,,
176 Ave WB between 104 - 110 St,50,(h),,,,
SB Lewis Estates Bvd btn Suder Grn-Breckenridge Dr,60,(h),,,,
EB 40 Ave between 111 - 107 St,50,"(a), (f), (h)",,,,
Towne Ctre Blvd NB btwn Taylor Green-Taylor Cove,50,(h),,,,
WB 111 Ave between 113 - 116 St,60,(b),,,,
NB 54 St Btwn 121 - 122 Ave,30,(f),,,,
142 Ave EB between 127 - 122 St,50,(h),,,,
Anthony Henday Dr WB at 97 St,100,"(a), (b), (c)",,,,
EB Beaumaris Rd Btwn 109 St - W of 161 Ave,30,(f),,,,
SB 106 St btwn 66 - 63 Ave,30,(f),,,,
EB 92 Ave E of 163 - 160 St,30,(f),,,,
